"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","training.zenika.com/91.208.207.215","443","INFO","HTTP","",""
"pre_128cipher","training.zenika.com/91.208.207.215","443","INFO","No 128 cipher limit bug","",""
"SSLv2","training.zenika.com/91.208.207.215","443","OK","not offered","",""
"SSLv3","training.zenika.com/91.208.207.215","443","OK","not offered","",""
"TLS1","training.zenika.com/91.208.207.215","443","INFO","not offered","",""
"TLS1_1","training.zenika.com/91.208.207.215","443","INFO","not offered","",""
"TLS1_2","training.zenika.com/91.208.207.215","443","OK","offered","",""
"TLS1_3","training.zenika.com/91.208.207.215","443","OK","offered with final","",""
"ALPN","training.zenika.com/91.208.207.215","443","INFO","http/1.1","",""
"cipherlist_NULL","training.zenika.com/91.208.207.215","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","training.zenika.com/91.208.207.215","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","training.zenika.com/91.208.207.215","443","OK","not offered","","CWE-327"
"cipherlist_LOW","training.zenika.com/91.208.207.215","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","training.zenika.com/91.208.207.215","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","training.zenika.com/91.208.207.215","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","training.zenika.com/91.208.207.215","443","INFO","not offered","",""
"cipherlist_STRONG_FS","training.zenika.com/91.208.207.215","443","OK","offered","",""
"cipher_order-tls1_2","training.zenika.com/91.208.207.215","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","training.zenika.com/91.208.207.215","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","training.zenika.com/91.208.207.215","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","training.zenika.com/91.208.207.215","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","training.zenika.com/91.208.207.215","443","INFO","NOT a cipher order configured","",""
"FS","training.zenika.com/91.208.207.215","443","OK","offered","",""
"FS_ciphers","training.zenika.com/91.208.207.215","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","training.zenika.com/91.208.207.215","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","training.zenika.com/91.208.207.215","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","training.zenika.com/91.208.207.215","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","training.zenika.com/91.208.207.215","443","INFO","yes","",""
"sessionresumption_ticket","training.zenika.com/91.208.207.215","443","INFO","not supported","",""
"sessionresumption_ID","training.zenika.com/91.208.207.215","443","INFO","not supported","",""
"TLS_timestamp","training.zenika.com/91.208.207.215","443","INFO","random","",""
"certificate_compression","training.zenika.com/91.208.207.215","443","INFO","none","",""
"clientAuth","training.zenika.com/91.208.207.215","443","INFO","none","",""
"cert_numbers","training.zenika.com/91.208.207.215","443","INFO","1","",""
"cert_signatureAlgorithm","training.zenika.com/91.208.207.215","443","OK","SHA256 with RSA","",""
"cert_keySize","training.zenika.com/91.208.207.215","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","training.zenika.com/91.208.207.215","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","training.zenika.com/91.208.207.215","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","training.zenika.com/91.208.207.215","443","INFO","03514C1A05BA727D9F119C75F32293FE4DDB","",""
"cert_serialNumberLen","training.zenika.com/91.208.207.215","443","INFO","18","",""
"cert_fingerprintSHA1","training.zenika.com/91.208.207.215","443","INFO","DEEF5771D50304A95DD5C8A4179E6C2F0BBBB060","",""
"cert_fingerprintSHA256","training.zenika.com/91.208.207.215","443","INFO","D0832BA5E0AC3A3A8F03A625983A610B60B1E37CF5CAD5C01682B08E82D8D971","",""
"cert","training.zenika.com/91.208.207.215","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9TCCA92gAwIBAgISA1FMGgW6cn2fEZx18yKT/k3bMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQwODExMjIyMDI5WhcNMjQxMTA5MjIyMDI4WjAeMRwwGgYDVQQDExN0cmFpbmluZy56ZW5pa2EuY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtLEYB2RK71EOF6AlEj1GQKMvxMX3aFfQvEQNl6XKNfAWAiDQ2R/svDNCRsx17LwAv9YYeKIDDcMHqPURWsdl+3d+6GArrp0mQw0J2UiLKBZ+Bn8e75r5B4J3xWQxkQThDfBygjkGx/Fzcs+iRD2YVHXyXjeWgbHryu+t7M7ePVAny4YTbe7r+MPVTfD2cLrzGcF3i4igSezgeQsKj256AXwZpw5hO3AquOEib1xgDzgVOp/OeAQHmV6cZ5cGXT6JN4TIoI98/9mrSol0L9cPRi5i5dk29e5mW2eGnKPaxc0KMLdZ0oe5HVlS4Vj+KiOtUDL+Jh3f9WNVDUXHhPtz6wIDAQABo4ICFjCCAhIwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBScaVbyGGABPhesCsGdzXDJ2WLuEDAfBgNVHSMEGDAWgBTFz0ak6vTDwHpslcQtsF6SLybjuTBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTEuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTEuaS5sZW5jci5vcmcvMB4GA1UdEQQXMBWCE3RyYWluaW5nLnplbmlrYS5jb20wEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAZFDvOkCAAAEAwBHMEUCIBC6GQ0KhRHmn/ZiRC4Iwg6CPHV7PZ9EL5HkjZBk/yPiAiEA9wNhYyb3WByrKJy9vInZyZjOY4p8Ja4x8DY97gJ/wX0AdQDf4VbrqgWvtZwPhnGNqMAyTq5W2W6n9aVqAdHBO75SXAAAAZFDvOl6AAAEAwBGMEQCIFPSMTTHVM3Ih3DHYUip83j76XFLkAKtTdbJJlHqVTjJAiAPNVEFL6rq1P2GWRl2/nq6MSwjYLUrFj9GTvZVJiD59jANBgkqhkiG9w0BAQsFAAOCAQEADZdOiNl+e8XBtGtPqRK1/NEeeyNJaGtcXcZgwwD4ZFC/2Hi+z42Sg6/rN//01xTw3uDFLWlstbMD4TzsKXgacNrx/ZaUG8DI0aljqgEWJTpmTZnKJ4VUoi9HD8FSHM1UDoRiG0d+txsIdkLSfIHXSP5jq4sjrR4B8JDeaM6VcpUkZHBQ2MFV5ZyJj7y6e9aFyPev/zTGrCCYcScrFPK523WsAcxCAO8hMM08C2x29ooukAuyr8jEgT3hN9mqjD91p0y/hDkAJmiaDzOIdq9TL0S33bi7SqZue8WKu5vKZVWXHbeBQeZIHFj0SIrgmAWHQo3fW2DAhLtpEHub+fAfQg==\n-----END CERTIFICATE-----","",""
"cert_commonName","training.zenika.com/91.208.207.215","443","OK","training.zenika.com","",""
"cert_commonName_wo_SNI","training.zenika.com/91.208.207.215","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","training.zenika.com/91.208.207.215","443","INFO","training.zenika.com","",""
"cert_trust","training.zenika.com/91.208.207.215","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","training.zenika.com/91.208.207.215","443","OK","passed.","",""
"cert_certificatePolicies_EV","training.zenika.com/91.208.207.215","443","INFO","no","",""
"cert_expirationStatus","training.zenika.com/91.208.207.215","443","OK","76 >= 30 days","",""
"cert_notBefore","training.zenika.com/91.208.207.215","443","INFO","2024-08-11 22:20","",""
"cert_notAfter","training.zenika.com/91.208.207.215","443","OK","2024-11-09 22:20","",""
"cert_extlifeSpan","training.zenika.com/91.208.207.215","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","training.zenika.com/91.208.207.215","443","INFO","not present","",""
"cert_crlDistributionPoints","training.zenika.com/91.208.207.215","443","INFO","--","",""
"cert_ocspURL","training.zenika.com/91.208.207.215","443","INFO","http://r11.o.lencr.org","",""
"OCSP_stapling","training.zenika.com/91.208.207.215","443","LOW","not offered","",""
"cert_mustStapleExtension","training.zenika.com/91.208.207.215","443","INFO","--","",""
"DNS_CAArecord","training.zenika.com/91.208.207.215","443","LOW","--","",""
"certificate_transparency","training.zenika.com/91.208.207.215","443","OK","yes (certificate extension)","",""
"certs_countServer","training.zenika.com/91.208.207.215","443","INFO","2","",""
"certs_list_ordering_problem","training.zenika.com/91.208.207.215","443","INFO","no","",""
"cert_caIssuers","training.zenika.com/91.208.207.215","443","INFO","R11 (Let's Encrypt from US)","",""
