"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","zenika.com/185.42.117.109","443","INFO","HTTP","",""
"pre_128cipher","zenika.com/185.42.117.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","zenika.com/185.42.117.109","443","OK","not offered","",""
"SSLv3","zenika.com/185.42.117.109","443","OK","not offered","",""
"TLS1","zenika.com/185.42.117.109","443","INFO","not offered","",""
"TLS1_1","zenika.com/185.42.117.109","443","INFO","not offered","",""
"TLS1_2","zenika.com/185.42.117.109","443","OK","offered","",""
"TLS1_3","zenika.com/185.42.117.109","443","OK","offered with final","",""
"ALPN","zenika.com/185.42.117.109","443","INFO","not offered","",""
"cipherlist_NULL","zenika.com/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","zenika.com/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","zenika.com/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","zenika.com/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","zenika.com/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","zenika.com/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","zenika.com/185.42.117.109","443","INFO","not offered","",""
"cipherlist_STRONG_FS","zenika.com/185.42.117.109","443","OK","offered","",""
"cipher_order-tls1_2","zenika.com/185.42.117.109","443","OK","server","",""
"cipherorder_TLSv1_2","zenika.com/185.42.117.109","443","INFO","DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","zenika.com/185.42.117.109","443","OK","server","",""
"FS","zenika.com/185.42.117.109","443","OK","offered","",""
"FS_ciphers","zenika.com/185.42.117.109","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","zenika.com/185.42.117.109","443","OK","prime256v1","",""
"TLS_extensions","zenika.com/185.42.117.109","443","INFO","'renegotiation info/#65281' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","zenika.com/185.42.117.109","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","zenika.com/185.42.117.109","443","INFO","no","",""
"sessionresumption_ticket","zenika.com/185.42.117.109","443","INFO","not supported","",""
"sessionresumption_ID","zenika.com/185.42.117.109","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","zenika.com/185.42.117.109","443","INFO","random","",""
"certificate_compression","zenika.com/185.42.117.109","443","INFO","none","",""
"clientAuth","zenika.com/185.42.117.109","443","INFO","none","",""
"cert_numbers","zenika.com/185.42.117.109","443","INFO","1","",""
"cert_signatureAlgorithm","zenika.com/185.42.117.109","443","OK","SHA256 with RSA","",""
"cert_keySize","zenika.com/185.42.117.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","zenika.com/185.42.117.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","zenika.com/185.42.117.109","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","zenika.com/185.42.117.109","443","INFO","034A5FD3F0CAD31090872EE373876ED852BB","",""
"cert_serialNumberLen","zenika.com/185.42.117.109","443","INFO","18","",""
"cert_fingerprintSHA1","zenika.com/185.42.117.109","443","INFO","16550AB7EBA035C109EC4919AC2B6EB2154585FF","",""
"cert_fingerprintSHA256","zenika.com/185.42.117.109","443","INFO","B5774D4ED52B8F1198775C628ED8339ADC7BD663C9E55236142570FE586151B7","",""
"cert","zenika.com/185.42.117.109","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFGTCCBAGgAwIBAgISA0pf0/DK0xCQhy7jc4du2FK7MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA0MjcwNDI5MjNaFw0yMzA3MjYwNDI5MjJaMBUxEzARBgNVBAMTCnplbmlrYS5jb20wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDfto60VLnb7s5ZfHsTrrYpF1wwygrYyZsCogR1qAu/PH4F4GZScNen0r4EfNSVh/gQ4ULLMJ63VuMH4oQ+AqCyQ/ofcC7USOUhsuSR+8yz33gaDZPCCdFGOgLbza4qsZeamGmQn4P8XdTFJzSulm/j6wab/upseMkLPKp5hlw3GLzx+E+1LG7HresTGv1KhMXFiVa918d7T0CIjwR+UtRRNJf1o6V/nqXS2y/thVLjWIC6o7wYr752U4ZZ63czT0A5ck3S0zThBeI9HOZ89djP3eW4ZjPJw8ZRkiYPsU1IYEzCd42TGVqjG4ER4rNLZJuQ7aXS6l4ENYGWQJ01AmKFAgMBAAGjggJEMIICQDAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFA8y4e4ue1oXgEVlLe9HbRpE84UYMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMBUGA1UdEQQOMAyCCnplbmlrYS5jb20wTAYDVR0gBEUwQzAIBgZngQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5jcnlwdC5vcmcwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQB6MoxU2LcttiDqOOBSHumEFnAyE4VNO9IrwTpXo1LrUgAAAYfBMAhdAAAEAwBGMEQCIAkxJzjOvFiawVkEgXM7QWRPcm8Q5qxLwOX+KZS1TlEKAiAdRxEYEHXhR0rqkC8C/0G1e3qc/4v7dmRCsC1qB1UGEAB2ALc++yTfnE26dfI5xbpY9Gxd/ELPep81xJ4dCYEl7bSZAAABh8EwCI0AAAQDAEcwRQIhANx/ViwOw1Mch2ifDM3ql117NHHXcayqOngZwS5VQKDIAiBHK59nvoJ4FH/gh3Ce4e2GTpxHRhERDASSCZBqpAU/iDANBgkqhkiG9w0BAQsFAAOCAQEAUh5tDH2cuQdQzjfuUCGGJApHE6vnvClB10nIX2mZIWrEcX3lGX8FaE9XYys4+d0Onqqgu4WuWimyBflYo1HRoaTFYF4q0cCcE3HA8yLMQHrN9oC+MIH5Q8UuFhDUemYeMZZOv0CGA2maXIdrjvhkGY2MMit0IxyMSfsdYxb87S0b0Y7ADSwAZtd9uwbHTQS8vdmfmt9Ap5eqQ2CaBiUDdbsv00xbJ0eMeZZbO8sw4nAxn+VM2TX2WnSnfMNsEK4wH20zbjG29dS5wsaUsn3viApusgRa7tDph3WH40f/xwi5zbp+COQLaRf9qrGLulRv8hu3eKBYVobxkgME1dEj7A==\n-----END CERTIFICATE-----","",""
"cert_commonName","zenika.com/185.42.117.109","443","OK","zenika.com","",""
"cert_commonName_wo_SNI","zenika.com/185.42.117.109","443","INFO","lolcatho.st","",""
"cert_subjectAltName","zenika.com/185.42.117.109","443","INFO","zenika.com","",""
"cert_trust","zenika.com/185.42.117.109","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","zenika.com/185.42.117.109","443","OK","passed.","",""
"cert_certificatePolicies_EV","zenika.com/185.42.117.109","443","INFO","no","",""
"cert_expirationStatus","zenika.com/185.42.117.109","443","OK","38 >= 30 days","",""
"cert_notBefore","zenika.com/185.42.117.109","443","INFO","2023-04-27 04:29","",""
