"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","arthurzenika.codeberg.page/217.197.84.141","443","INFO","HTTP","",""
"pre_128cipher","arthurzenika.codeberg.page/217.197.84.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","arthurzenika.codeberg.page/217.197.84.141","443","OK","not offered","",""
"SSLv3","arthurzenika.codeberg.page/217.197.84.141","443","OK","not offered","",""
"TLS1","arthurzenika.codeberg.page/217.197.84.141","443","INFO","not offered","",""
"TLS1_1","arthurzenika.codeberg.page/217.197.84.141","443","INFO","not offered","",""
"TLS1_2","arthurzenika.codeberg.page/217.197.84.141","443","OK","offered","",""
"TLS1_3","arthurzenika.codeberg.page/217.197.84.141","443","OK","offered with final","",""
"ALPN_HTTP2","arthurzenika.codeberg.page/217.197.84.141","443","OK","h2","",""
"ALPN","arthurzenika.codeberg.page/217.197.84.141","443","INFO","http/1.1","",""
"cipherlist_NULL","arthurzenika.codeberg.page/217.197.84.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","arthurzenika.codeberg.page/217.197.84.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","arthurzenika.codeberg.page/217.197.84.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","arthurzenika.codeberg.page/217.197.84.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","arthurzenika.codeberg.page/217.197.84.141","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","arthurzenika.codeberg.page/217.197.84.141","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","arthurzenika.codeberg.page/217.197.84.141","443","INFO","not offered","",""
"cipherlist_STRONG_FS","arthurzenika.codeberg.page/217.197.84.141","443","OK","offered","",""
"cipher_order-tls1_2","arthurzenika.codeberg.page/217.197.84.141","443","OK","server","",""
"cipherorder_TLSv1_2","arthurzenika.codeberg.page/217.197.84.141","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","arthurzenika.codeberg.page/217.197.84.141","443","OK","server -- TLS 1.3 client determined","",""
"FS","arthurzenika.codeberg.page/217.197.84.141","443","OK","offered","",""
"FS_ciphers","arthurzenika.codeberg.page/217.197.84.141","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","arthurzenika.codeberg.page/217.197.84.141","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","arthurzenika.codeberg.page/217.197.84.141","443","OK","prime256v1","",""
