"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","faq.zenika.com/104.21.27.224","443","INFO","HTTP","",""
"pre_128cipher","faq.zenika.com/104.21.27.224","443","INFO","No 128 cipher limit bug","",""
"SSLv2","faq.zenika.com/104.21.27.224","443","OK","not offered","",""
"SSLv3","faq.zenika.com/104.21.27.224","443","OK","not offered","",""
"TLS1","faq.zenika.com/104.21.27.224","443","LOW","offered (deprecated)","",""
"TLS1_1","faq.zenika.com/104.21.27.224","443","LOW","offered (deprecated)","",""
"TLS1_2","faq.zenika.com/104.21.27.224","443","OK","offered","",""
"TLS1_3","faq.zenika.com/104.21.27.224","443","OK","offered with final","",""
"ALPN_HTTP2","faq.zenika.com/104.21.27.224","443","OK","h2","",""
"ALPN","faq.zenika.com/104.21.27.224","443","INFO","http/1.1","",""
"cipherlist_NULL","faq.zenika.com/104.21.27.224","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","faq.zenika.com/104.21.27.224","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","faq.zenika.com/104.21.27.224","443","OK","not offered","","CWE-327"
"cipherlist_LOW","faq.zenika.com/104.21.27.224","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","faq.zenika.com/104.21.27.224","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","faq.zenika.com/104.21.27.224","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","faq.zenika.com/104.21.27.224","443","INFO","not offered","",""
"cipherlist_STRONG","faq.zenika.com/104.21.27.224","443","OK","offered","",""
"cipher_order","faq.zenika.com/104.21.27.224","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","faq.zenika.com/104.21.27.224","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","faq.zenika.com/104.21.27.224","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","faq.zenika.com/104.21.27.224","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipherorder_TLSv1_1","faq.zenika.com/104.21.27.224","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipherorder_TLSv1_2","faq.zenika.com/104.21.27.224","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS","faq.zenika.com/104.21.27.224","443","OK","offered","",""
"FS_ciphers","faq.zenika.com/104.21.27.224","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","faq.zenika.com/104.21.27.224","443","OK","prime256v1","",""
"TLS_extensions","faq.zenika.com/104.21.27.224","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","faq.zenika.com/104.21.27.224","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","faq.zenika.com/104.21.27.224","443","INFO","yes","",""
"sessionresumption_ticket","faq.zenika.com/104.21.27.224","443","INFO","supported","",""
"sessionresumption_ID","faq.zenika.com/104.21.27.224","443","INFO","supported","",""
"TLS_timestamp","faq.zenika.com/104.21.27.224","443","INFO","off by -2 seconds from your localtime","",""
"certificate_compression","faq.zenika.com/104.21.27.224","443","INFO","0002/Brotli","",""
"clientAuth","faq.zenika.com/104.21.27.224","443","INFO","none","",""
"cert_numbers","faq.zenika.com/104.21.27.224","443","INFO","1","",""
"cert_signatureAlgorithm","faq.zenika.com/104.21.27.224","443","OK","ECDSA with SHA256","",""
"cert_keySize","faq.zenika.com/104.21.27.224","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","faq.zenika.com/104.21.27.224","443","INFO","Digital Signature","",""
"cert_extKeyUsage","faq.zenika.com/104.21.27.224","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","faq.zenika.com/104.21.27.224","443","INFO","02075FFA4C126446C9B8E1978268925A","",""
"cert_serialNumberLen","faq.zenika.com/104.21.27.224","443","INFO","16","",""
"cert_fingerprintSHA1","faq.zenika.com/104.21.27.224","443","INFO","8CAAFC87E6F48B57EF8C0285DFC860125E34C098","",""
"cert_fingerprintSHA256","faq.zenika.com/104.21.27.224","443","INFO","12E9384C990608AC3A36CF7633CDA622205ED6C88DAF9979911857A0A9362D01","",""
