"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","medium.zenika.com/52.1.147.205","443","INFO","HTTP","",""
"pre_128cipher","medium.zenika.com/52.1.147.205","443","INFO","No 128 cipher limit bug","",""
"SSLv2","medium.zenika.com/52.1.147.205","443","OK","not offered","",""
"SSLv3","medium.zenika.com/52.1.147.205","443","OK","not offered","",""
"TLS1","medium.zenika.com/52.1.147.205","443","LOW","offered (deprecated)","",""
"TLS1_1","medium.zenika.com/52.1.147.205","443","LOW","offered (deprecated)","",""
"TLS1_2","medium.zenika.com/52.1.147.205","443","OK","offered","",""
"TLS1_3","medium.zenika.com/52.1.147.205","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","medium.zenika.com/52.1.147.205","443","OK","h2","",""
"ALPN","medium.zenika.com/52.1.147.205","443","INFO","http/1.1","",""
"cipherlist_NULL","medium.zenika.com/52.1.147.205","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","medium.zenika.com/52.1.147.205","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","medium.zenika.com/52.1.147.205","443","OK","not offered","","CWE-327"
"cipherlist_LOW","medium.zenika.com/52.1.147.205","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","medium.zenika.com/52.1.147.205","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","medium.zenika.com/52.1.147.205","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","medium.zenika.com/52.1.147.205","443","INFO","not offered","",""
"cipherlist_STRONG_FS","medium.zenika.com/52.1.147.205","443","OK","offered","",""
"cipher_order-tls1","medium.zenika.com/52.1.147.205","443","OK","server","",""
"cipherorder_TLSv1","medium.zenika.com/52.1.147.205","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","medium.zenika.com/52.1.147.205","443","OK","server","",""
"cipherorder_TLSv1_1","medium.zenika.com/52.1.147.205","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","medium.zenika.com/52.1.147.205","443","OK","server","",""
"cipherorder_TLSv1_2","medium.zenika.com/52.1.147.205","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","medium.zenika.com/52.1.147.205","443","OK","server","",""
"FS","medium.zenika.com/52.1.147.205","443","OK","offered","",""
"FS_ciphers","medium.zenika.com/52.1.147.205","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","medium.zenika.com/52.1.147.205","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","medium.zenika.com/52.1.147.205","443","OK","sect283k1 sect283r1 sect409k1 sect409r1 sect571k1 sect571r1 secp256k1 prime256v1 secp384r1 secp521r1 brainpoolP256r1 brainpoolP384r1 brainpoolP512r1","",""
"TLS_extensions","medium.zenika.com/52.1.147.205","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'application layer protocol negotiation/#16' 'session ticket/#35' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","medium.zenika.com/52.1.147.205","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","medium.zenika.com/52.1.147.205","443","INFO","yes","",""
