"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oss.zenika.com/18.208.88.157","443","INFO","HTTP","",""
"pre_128cipher","oss.zenika.com/18.208.88.157","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oss.zenika.com/18.208.88.157","443","OK","not offered","",""
"SSLv3","oss.zenika.com/18.208.88.157","443","OK","not offered","",""
"TLS1","oss.zenika.com/18.208.88.157","443","INFO","not offered","",""
"TLS1_1","oss.zenika.com/18.208.88.157","443","INFO","not offered","",""
"TLS1_2","oss.zenika.com/18.208.88.157","443","OK","offered","",""
"TLS1_3","oss.zenika.com/18.208.88.157","443","OK","offered with final","",""
"ALPN_HTTP2","oss.zenika.com/18.208.88.157","443","OK","h2","",""
"ALPN","oss.zenika.com/18.208.88.157","443","INFO","http/1.1","",""
"cipherlist_NULL","oss.zenika.com/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oss.zenika.com/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oss.zenika.com/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oss.zenika.com/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oss.zenika.com/18.208.88.157","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oss.zenika.com/18.208.88.157","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","oss.zenika.com/18.208.88.157","443","INFO","not offered","",""
"cipherlist_STRONG_FS","oss.zenika.com/18.208.88.157","443","OK","offered","",""
"cipher_order-tls1_2","oss.zenika.com/18.208.88.157","443","OK","server","",""
"cipherorder_TLSv1_2","oss.zenika.com/18.208.88.157","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","oss.zenika.com/18.208.88.157","443","OK","server -- TLS 1.3 client determined","",""
"FS","oss.zenika.com/18.208.88.157","443","OK","offered","",""
"FS_ciphers","oss.zenika.com/18.208.88.157","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","oss.zenika.com/18.208.88.157","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","oss.zenika.com/18.208.88.157","443","OK","prime256v1","",""
"TLS_extensions","oss.zenika.com/18.208.88.157","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","oss.zenika.com/18.208.88.157","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","oss.zenika.com/18.208.88.157","443","INFO","yes","",""
"sessionresumption_ticket","oss.zenika.com/18.208.88.157","443","INFO","not supported","",""
"sessionresumption_ID","oss.zenika.com/18.208.88.157","443","INFO","not supported","",""
"TLS_timestamp","oss.zenika.com/18.208.88.157","443","INFO","random","",""
"certificate_compression","oss.zenika.com/18.208.88.157","443","INFO","none","",""
"clientAuth","oss.zenika.com/18.208.88.157","443","INFO","none","",""
"cert_numbers","oss.zenika.com/18.208.88.157","443","INFO","1","",""
"cert_signatureAlgorithm","oss.zenika.com/18.208.88.157","443","OK","ECDSA with SHA384","",""
"cert_keySize","oss.zenika.com/18.208.88.157","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","oss.zenika.com/18.208.88.157","443","INFO","Digital Signature","",""
"cert_extKeyUsage","oss.zenika.com/18.208.88.157","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","oss.zenika.com/18.208.88.157","443","INFO","059CD363071BD2360F3A654B9C9356D13AFF","",""
"cert_serialNumberLen","oss.zenika.com/18.208.88.157","443","INFO","18","",""
"cert_fingerprintSHA1","oss.zenika.com/18.208.88.157","443","INFO","CC8111DC1CA75AE0EC934CB12002739A34C2D2DB","",""
"cert_fingerprintSHA256","oss.zenika.com/18.208.88.157","443","INFO","30B6EEA4BCCD0505BE2F9BD8CEC81879D33258856792971103A857D3EAD4649A","",""
